Processes: 469 total, 2 running, 467 sleeping, 1681 threads 
2021/10/11 12:21:56
Load Avg: 1.17, 1.69, 1.89 
CPU usage: 3.42% user, 11.64% sys, 84.93% idle 
SharedLibs: 283M resident, 38M data, 31M linkedit.
MemRegions: 81866 total, 2952M resident, 79M private, 764M shared.
PhysMem: 8110M used (2014M wired), 80M unused.
VM: 4088G vsize, 2321M framework vsize, 7430563(0) swapins, 8051695(0) swapouts.
Networks: packets: 2615435/4026M in, 3297311/1981M out.
Disks: 1430394/56G read, 634399/63G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS  COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
6071  top              0.0  00:00.18 1/1   0   15     2488K 0B    0B    6071 5375 running  *0[1]      0.00000 0.00000    0   1409    102    198583   98216    2054     101367   44        0       0       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
6070  ex2              0.0  00:00.06 1     0   10     60M   0B    0B    6070 5375 sleeping *0[1]      0.00000 0.00000    501 15717   91     39       19       142      63       21        4       4       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
6068  mdworker_shared  0.0  00:00.08 4     1   50     1084K 0B    0B    6068 1    sleeping *0[1]      0.00000 0.00000    501 7152    153    581      251      1383     746      120       0       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
6064  CFNetworkAgent   0.0  00:00.03 3     1   52     2428K 0B    0B    6064 1    sleeping *0[1]      0.00000 0.00000    0   2534    149    179      62       1604     401      217       8       8       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
6036  mdworker_shared  0.0  00:00.58 4     1   50     1252K 0B    344K  6036 1    sleeping *0[1]      0.00000 0.00000    501 41426   153    1272     506      15498    5694     1322      0       1       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5997  clangd           0.0  00:00.35 4     0   17     18M   0B    6096K 5614 5614 sleeping *0[1]      0.00000 0.00000    501 8704    973    75       35       3442     165      777       0       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5982  com.apple.WebKit 0.0  00:00.18 3     1   84     5768K 0B    2936K 5982 1    sleeping  0[3]      0.00000 0.00000    501 6963    372    4196     1743     4911     3800     1187      57      7       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5963  com.apple.WebKit 0.0  00:02.45 3     1   97     79M   0B    15M   5963 1    sleeping  0[895]    0.00000 0.00000    501 43740   459    12926    5629     28424    32815    15316     311     73      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5962  com.apple.WebKit 0.0  00:00.61 4     1   99     32M   0B    10M   5962 1    sleeping  0[27]     0.00000 0.00000    501 26708   433    4597     1904     10153    6911     3674      38      27      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5961  MTLCompilerServi 0.0  00:00.08 2     1   21     8264K 0B    6484K 5961 1    sleeping *0[3]      0.00000 0.00000    501 4964    558    136      45       571      304      220       42      1       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5960  MTLCompilerServi 0.0  00:00.07 2     1   32     6416K 0B    3816K 5960 1    sleeping *0[5]      0.00000 0.00000    501 2684    158    150      44       695      306      216       70      1       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5959  com.apple.WebKit 0.0  00:11.86 4     1   144    115M  0B    12M   5959 1    sleeping  0[4009]   0.00000 0.00000    501 68430   488    45452    22454    100824   189406   67082     474     5530    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5958  com.apple.WebKit 0.0  00:07.77 4     1   102    169M  13M   13M   5958 1    sleeping  0[1758]   0.00000 0.00000    501 90347   735    22214    10179    103577   84898    39007     413     326     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5903  taskgated        0.0  00:00.02 2     0   22     936K  0B    256K  5903 1    sleeping *0[1]      0.00000 0.00000    0   1143    105    75       29       736      194      138       1       1       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
5893  com.apple.WebKit 0.0  00:01.14 4     1   99     63M   0B    58M   5893 1    sleeping *0[319]    0.00000 0.00000    501 34557   456    7793     3306     15926    15753    7348      270     101     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
