Processes: 469 total, 2 running, 467 sleeping, 1679 threads 
2021/10/11 12:20:06
Load Avg: 1.52, 1.87, 1.97 
CPU usage: 3.94% user, 11.18% sys, 84.86% idle 
SharedLibs: 283M resident, 38M data, 31M linkedit.
MemRegions: 84148 total, 2856M resident, 77M private, 764M shared.
PhysMem: 7890M used (2002M wired), 300M unused.
VM: 4266G vsize, 2321M framework vsize, 7413740(0) swapins, 8051695(0) swapouts.
Networks: packets: 2615023/4025M in, 3296906/1981M out.
Disks: 1429398/56G read, 633499/63G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS  COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
6060  top              0.0  00:00.19 1/1   0   15     2496K 0B    0B    6060 5375 running  *0[1]      0.00000 0.00000    0   1412    101    203245   100548   2054     103697   68        0       0       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
6036  mdworker_shared  0.0  00:00.34 4     1   50     1252K 0B    344K  6036 1    sleeping *0[1]      0.00000 0.00000    501 25452   153    966      395      8985     3426     1050      0       1       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5997  clangd           0.0  00:00.35 4     0   17     18M   0B    6104K 5614 5614 sleeping *0[1]      0.00000 0.00000    501 8701    973    57       26       3397     156      766       0       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5982  com.apple.WebKit 0.0  00:00.18 3     1   84     5764K 0B    2956K 5982 1    sleeping  0[3]      0.00000 0.00000    501 6951    372    4190     1739     4904     3771     1174      57      4       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5963  com.apple.WebKit 0.0  00:02.30 3     1   97     78M   0B    16M   5963 1    sleeping  0[891]    0.00000 0.00000    501 43087   459    12892    5613     27362    32632    15143     311     60      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5962  com.apple.WebKit 0.0  00:00.61 4     1   99     32M   0B    10M   5962 1    sleeping  0[27]     0.00000 0.00000    501 26703   433    4589     1899     10146    6873     3662      38      24      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5961  MTLCompilerServi 0.0  00:00.08 2     1   21     8264K 0B    6484K 5961 1    sleeping *0[3]      0.00000 0.00000    501 4964    558    136      45       571      304      220       42      1       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5960  MTLCompilerServi 0.0  00:00.07 2     1   32     6416K 0B    3816K 5960 1    sleeping *0[5]      0.00000 0.00000    501 2684    158    150      44       695      306      216       70      1       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5959  com.apple.WebKit 0.0  00:11.77 4     1   144    115M  0B    12M   5959 1    sleeping  0[4005]   0.00000 0.00000    501 68166   488    45438    22441    98599    187813   66519     474     5516    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5958  com.apple.WebKit 0.0  00:07.69 4     1   101    168M  13M   13M   5958 1    sleeping  0[1752]   0.00000 0.00000    501 89982   735    22186    10145    103151   84297    38680     413     309     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
